Symbol,ltp,%Change,Open,High,Low,Qty,PClose,Diff
NSY,9.16,1.1,9.00,9.16,8.90,"2,400",9.06,0.1
NTC,881.00,0,890.00,890.00,878.20,"7,356",881.00,0
NUBL,570.00,-0.87,564.10,575.00,564.10,"2,889",575.00,-5
NWCL,597.00,-1.49,590.20,600.00,590.20,"1,160",606.00,-9
NYADI,345.00,-0.29,338.30,354.90,338.20,"2,251",346.00,-1
OHL,620.00,0.16,616.00,620.00,616.00,546,619.00,1
OMPL,883.00,-0.23,880.00,887.00,872.00,"1,363",885.00,-2
PCBL,238.00,0.42,237.10,239.90,235.20,"40,298",237.00,1
PCIL,620.10,-1.26,628.00,633.00,615.00,"21,397",628.00,-7.9
PHCL,302.80,0.93,300.00,304.80,298.40,"33,666",300.00,2.8
PMHPL,298.00,2.23,289.00,298.00,289.00,"2,073",291.50,6.5
PMLI,398.30,-0.95,402.00,410.00,398.00,"5,367",402.10,-3.8
PPCL,335.00,1.82,345.40,345.40,325.10,"3,967",329.00,6
PPL,302.90,-0.03,303.00,304.00,298.30,"26,321",303.00,-0.1
PRIN,593.00,-0.17,585.20,595.00,583.60,"1,668",594.00,-1
PROFL,380.00,-0.24,381.10,385.00,376.00,"6,334",380.90,-0.9
PRSF,12.89,1.5,12.70,12.89,12.60,"225,597",12.70,0.19
PRVU,177.50,0.85,179.00,179.00,176.20,"64,386",176.00,1.5
PSF,11.99,-0.17,12.00,12.18,11.99,"76,101",12.01,-0.02
PURE,662.00,-13.33,770.00,774.00,662.00,"8,483",763.80,-101.8
RADHI,679.00,0.59,681.00,681.00,674.00,"39,400",675.00,4
RAWA,393.00,-1.75,395.00,400.00,393.00,"16,939",400.00,-7
RBBD2088,"1,066.60",2.99,"1,066.00","1,066.60","1,066.00",35,"1,035.60",31
RBBF40,9.00,-2.91,9.00,9.00,8.75,700,9.27,-0.27
RBCL,"13,355.00",0.41,"13,400.00","13,489.00","13,355.00",50,"13,301.00",54
RBCLPO,"11,215.10",2.98,"11,215.00","11,215.10","11,215.00",20,"10,890.20",324.9
RFPL,326.00,-0.31,327.00,330.00,320.00,"15,011",327.00,-1
RHGCL,247.80,1.98,243.00,247.80,242.00,"6,594",243.00,4.8
RHPL,173.10,-3.19,175.00,179.70,172.20,"115,868",178.80,-5.7
RIDI,344.00,-2.27,355.00,357.00,342.00,"272,952",352.00,-8
RLEL,772.00,-2.28,790.00,790.00,770.00,"4,752",790.00,-18
RLFL,418.10,-0.67,424.00,430.00,418.10,"7,707",420.90,-2.8
RMF1,9.50,5.32,9.29,9.51,9.21,"19,600",9.02,0.48
RNLI,410.00,0.51,405.00,411.90,405.00,"8,261",407.90,2.1
RSDC,619.90,0.8,615.00,620.00,612.00,"1,542",615.00,4.9
RSML,"2,830.00",5.01,"2,681.30","2,850.00","2,681.30","146,528","2,695.00",135
RSY,9.47,0.53,9.39,9.53,9.39,"7,040",9.42,0.05
RSY2,8.92,0.22,8.70,9.15,8.70,"9,630",8.90,0.02
RURU,572.50,1.31,567.00,579.00,565.10,"3,001",565.10,7.4
SABBL,879.00,1.6,850.00,887.00,850.00,"5,900",865.20,13.8
SADBL,406.50,0.12,406.00,410.00,402.50,"11,628",406.00,0.5
SAEF2,9.03,0.44,8.97,9.10,8.97,"3,300",8.99,0.04
SAGAR,"1,500.00",-1.32,"1,550.00","1,550.00","1,500.00","3,864","1,520.00",-20
SAGF,9.63,-3.7,9.90,9.90,9.63,"5,200",10.00,-0.37
SAHAS,686.90,-0.2,689.00,692.80,683.20,"55,247",688.30,-1.4
SAIL,994.00,-0.4,996.00,"1,005.00",970.00,"23,510",998.00,-4
SALICO,526.80,-0.79,520.10,530.00,517.10,"5,837",531.00,-4.2
SANIMA,360.00,0.53,361.00,361.90,356.10,"67,627",358.10,1.9
SANVI,550.00,-1.79,556.10,565.00,550.00,"6,791",560.00,-10
